"","Inh.L1.6.VIP.SLC7A6OS","Inh.L2.PAX6.FREM2","Inh.L1.2.VIP.HTR3A","Inh.L1.2.VIP.WNT4","Inh.L1.PAX6.CHRFAM7A","Inh.L1.PVALB.SST.ASIC4","Inh.L1.SST.P4HA3","Inh.L1.SST.DEFB108B","Inh.L1.PAX6.CHRFAM7A.Inh.L1.SST.P4HA3.4","Inh.L1.PAX6.CHRFAM7A.Inh.L1.2.VIP.WNT4.3","Inh.L1.PAX6.CHRFAM7A.Inh.L2.PAX6.FREM2.2","Inh.L1.6.VIP.SLC7A6OS.Inh.L2.PAX6.FREM2.1","Inh.L1.2.VIP.HTR3A.Inh.L1.2.VIP.WNT4.1","Inh.L1.SST.DEFB108B.Inh.L1.SST.P4HA3.2","Inh.L1.PVALB.SST.ASIC4.Inh.L1.SST.P4HA3.1"
"Inh GAD1 PCP4",-14.9721122771379,-15.1168792263237,-6.06805793523208,-14.1265053804748,-5.28003544379532,66.3790908805725,40.6142818043982,13.3529829115488,13.2897638816704,-11.0681450221799,-13.2414001509766,-19.4223377429412,-13.4475749158177,32.1803149941469,58.4540531328093
"Inh PAX6 CDH4",-5.58816988084327,-8.96467238886778,-10.2397872159709,-4.74869906780434,28.9638254165072,26.3368666887341,13.6605307238148,-4.77815500489703,4.64839782258835,-0.433586991907303,9.66015689648979,-9.49398249793632,-10.7897230361951,6.08742311839824,19.7846155716232
"Inh SNCG PLPPR1",6.89070399396059,17.6213321984551,-5.47573718584023,14.2411960845479,-5.32882603083137,-18.1365323766562,-16.404499445972,-19.2849524480557,-12.5249790845751,-1.54471008850009,-1.21521317954558,8.26800723249314,1.65050340686902,-21.4019015841069,-20.3972008285113
"Inh VIP CYP19A1",-7.989071224701,-4.12163063829438,7.8997439034489,14.5137499256195,-11.4240313457906,-15.9051331553287,-14.3388503885846,-12.8689273687634,-9.7652567029,-2.99262559108238,-12.3708833951073,-9.59082537897221,7.74231905368773,-15.1808312602289,-16.7161413721918
"Inh SNCG CNTN4",-13.5861446576273,-11.6267167651952,16.9582153669269,1.48408023597044,-12.4173717521336,-6.09167111634699,-8.83607873143195,-4.0078712008311,-6.08228898672639,-4.60820772592104,-16.0156962803385,-15.8765263241551,6.16830640793303,-7.57138122412919,-8.96005615181136
"Inh PAX6 ANKRD6",16.2682156701694,17.0394414031281,-9.60877294694211,1.8094653754112,-2.91470423730879,-15.1511593023071,-12.5287921772139,-12.8621600210944,-9.8554366153644,-3.38802591176191,2.7719303222053,12.5023955603354,-5.95788571806381,-14.6539425030424,-15.3390612699892
"Inh GAD1 LOC108589948",-15.3562347749421,-16.0541664161356,-0.334511397347691,-14.0361944779059,-13.0887968812923,7.10861197003316,5.79961284286299,16.1247578611537,-0.974384157237309,-14.5523620054305,-20.2748876446721,-20.6158760322147,-10.7098135996957,10.3090257531598,6.99847156165671
"Inh SNCG PLPPR1:Inh GAD1 LOC108589948:3",-6.78760244154258,-6.78866024911926,-4.35496030404514,-1.61844557447367,8.52973382152547,18.643166920696,6.57086480299337,-5.63958976204782,1.04021230882954,-8.24189635423033,-1.44354374223416,-11.6365564271489,-8.36558520483182,0.974513250078473,14.6552309869067
"Inh SNCG PLPPR1:Inh SNCG CNTN4:2",-0.310642238596766,4.61738099070342,3.71629727707886,9.56375919616714,-10.0127329798962,-19.6231126180888,-17.5744640194523,-15.7682126882651,-17.4757055168266,-5.17220920460511,-11.0315701234221,-2.95444129366199,3.14326923880663,-24.5367439153866,-24.6886518852037
"Inh SNCG PLPPR1:Inh PAX6 ANKRD6:1",13.9430903815275,20.2774934133793,-8.90014058585913,8.80301609605552,-4.58805565735449,-21.1703729405252,-17.313885305877,-19.718605939755,-15.3056187533116,-4.14302128910333,2.06574067193529,13.7089720114072,-2.87655957781006,-24.8322210580237,-22.3905762599497
"Inh VIP CYP19A1:Inh SNCG CNTN4:1",-12.3808481157398,-9.45344897409294,14.4147657213705,9.06641894800614,-14.4193716711702,-14.1166086568584,-14.7635331681838,-10.3735197922243,-12.351959620913,-4.65236401373885,-19.3657719343604,-16.0814181039274,8.90372675075722,-15.9525597457114,-17.7451650216679
"Inh PAX6 CDH4:Inh GAD1 LOC108589948:2",-9.22110334334154,-11.5901014045928,-9.00464032011072,-8.84804669437274,18.9449096687402,33.0904946396156,18.2220286150674,1.1741593723469,5.10609827449382,-4.43818855494134,2.25108224534971,-14.2244074159013,-14.1637903944699,13.4043410785074,26.9470474271925
"Inh GAD1 PCP4:Inh GAD1 LOC108589948:1",-17.1737479584427,-17.5407984544226,-3.39688790696156,-16.1051203806743,-9.51665999600667,43.6823996444568,26.8499078781955,17.2962950731886,7.94449034088673,-15.8759871965075,-21.1225912717002,-23.6343413114802,-14.5769897453696,28.9001675884092,41.2752266207364
