"","Astrocyte.science","EN.PFC1.science","EN.PFC2.science","EN.PFC3.science","EN.V1.1.science","EN.V1.2.science","EN.V1.3.science","Endothelial.science","Glyc.science","IN.CTX.CGE1.science","IN.CTX.CGE2.science","IN.CTX.MGE1.science","IN.CTX.MGE2.science","IN.STR.science","IPC.div1.science","IPC.div2.science","IPC.nEN1.science","IPC.nEN2.science","IPC.nEN3.science","MGE.IPC1.science","MGE.IPC2.science","MGE.IPC3.science","MGE.RG1.science","MGE.RG2.science","MGE.div.science","Microglia.science","Mural.science","OPC.science","RG.div1.science","RG.div2.science","RG.early.science","Rejected..RE.","Rejection..dist.","U1.science","U2.science","U3.science","U4.science","nEN.early1.science","nEN.early2.science","nEN.late.science","nIN1.science","nIN2.science","nIN3.science","nIN5.science","oRG.science","root","tRG.science","vRG.science","Reject"
"End-geschwind",0,0,0,0,0,0,0,0.514767932489452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261603375527426,0.210970464135021,0,0,0,0,0,0,0.00421940928270042,0,0,0,0,0,0.00843881856540084,0,0,0.472573839662447
"ExDp1-geschwind",0,0.31338891613536,0.019127023050515,0,0.377145659637077,0,0.000490436488474743,0,0.0034330554193232,0,0,0,0,0.000490436488474743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691515448749387,0.0549288867091712,0,0,0,0,0,0,0,0,0,0,0,0,0.161844041196665,0,0,0.12408043158411
"ExDp2-geschwind",0,0.313253012048193,0,0,0,0,0,0,0.102409638554217,0,0,0,0,0.00602409638554217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072289156626506,0.355421686746988,0,0,0,0,0,0,0,0,0,0,0,0,0.150602409638554,0,0,0.427710843373494
"ExM-U-geschwind",0,0.00113895216400911,0.0347380410022779,0,0.00968109339407745,0.277334851936219,0.322892938496583,0,0.00227790432801822,0,0.00113895216400911,0.000569476082004556,0.00113895216400911,0.00113895216400911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569476082004556,0.0711845102505695,0.146924829157175,0,0,0.000569476082004556,0,0,0.00170842824601367,0.000569476082004556,0,0,0,0,0,0.126423690205011,0,0,0.218109339407745
"ExM-geschwind",0.000101812258195887,0.00132355935654653,0.0175117084096925,0.00610873549175321,0.00376705355324781,0.270107920993688,0.00509061290979434,0.000101812258195887,0.00030543677458766,0.000916310323762981,0.00132355935654653,0.000814498065567094,0.000203624516391774,0.000916310323762981,0,0,0.000101812258195887,0.000101812258195887,0,0,0.000203624516391774,0,0.000101812258195887,0,0,0.000101812258195887,0.000203624516391774,0.000101812258195887,0.000509061290979434,0.000509061290979434,0.000712685807371207,0.0367542252087151,0.0578293626552637,0,0.000101812258195887,0.000610873549175321,0,0.000203624516391774,0.153532885359397,0.0242313174506211,0,0.000101812258195887,0,0,0,0.414986764406435,0,0.000407249032783547,0.0945835878639788
"ExN-geschwind",0.000100050025012506,0.00120060030015007,0.000700350175087544,0.000200100050025013,0.00290145072536268,0.00720360180090045,0.000200100050025013,0.000300150075037519,0.00080040020010005,0.00250125062531266,0.000900450225112556,0.00260130065032516,0.000300150075037519,0.00460230115057529,0.000300150075037519,0.000700350175087544,0.000900450225112556,0.00180090045022511,0.000200100050025013,0.000200100050025013,0.000200100050025013,0.000100050025012506,0.000600300150075037,0,0.000200100050025013,0.000100050025012506,0.000200100050025013,0.000200100050025013,0.00080040020010005,0.000900450225112556,0.00140070035017509,0.0363181590795398,0.063231615807904,0,0.000200100050025013,0.00270135067533767,0.000200100050025013,0.00140070035017509,0.302351175587794,0.186293146573287,0.000200100050025013,0.000200100050025013,0,0,0.000700350175087544,0.371285642821411,0.00080040020010005,0.00080040020010005,0.0995497748874437
"IP-geschwind",0.000465116279069767,0,0,0,0,0,0,0,0.000930232558139535,0.0013953488372093,0,0,0,0.000465116279069767,0.00325581395348837,0.000930232558139535,0.0474418604651163,0.0181395348837209,0.0386046511627907,0.000465116279069767,0,0.00418604651162791,0.000930232558139535,0.00418604651162791,0,0,0,0,0,0.00418604651162791,0.00651162790697674,0.00372093023255814,0.0409302325581395,0,0,0.000930232558139535,0,0,0.0390697674418605,0.0465116279069767,0,0,0,0,0,0.734418604651163,0.00186046511627907,0.000465116279069767,0.0446511627906977
"InCGE-geschwind",0,0,0,0,0,0,0,0,0.000697350069735007,0.410739191073919,0.216875871687587,0.00627615062761506,0,0.00278940027894003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00697350069735007,0.0209205020920502,0,0,0,0,0,0,0,0,0,0,0,0,0.334728033472803,0,0,0.0278940027894003
"InMGE-geschwind",0,0,0,0,0,0,0,0,0.000586510263929619,0.00117302052785924,0.00351906158357771,0.306158357771261,0.0944281524926686,0.00175953079178886,0,0,0,0,0,0,0.000586510263929619,0,0,0,0,0,0,0,0,0,0,0.00586510263929619,0.0170087976539589,0,0,0,0,0,0,0,0.00527859237536657,0.00117302052785924,0.000586510263929619,0.000586510263929619,0,0.561290322580645,0,0,0.0228739002932551
"Mic-geschwind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958333333333333,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667
"OPC-geschwind",0.0294117647058824,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065359477124183,0,0,0,0,0,0,0,0.715686274509804,0,0,0,0.0294117647058824,0.0359477124183007,0,0,0,0.00326797385620915,0,0,0,0,0,0,0,0,0.176470588235294,0,0,0.065359477124183
"Per-geschwind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885964912280702,0,0,0,0,0,0.0614035087719298,0.0087719298245614,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0,0,0.0614035087719298
"PgG2M-geschwind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231654676258993,0.0115107913669065,0,0,0,0.315107913669065,0.00719424460431655,0,0,0,0.00143884892086331,0,0,0,0.152517985611511,0.0330935251798561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247482014388489,0,0,0
"PgS-geschwind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987012987013,0.279220779220779,0,0,0,0,0.0154220779220779,0,0,0.0146103896103896,0.0584415584415584,0,0,0,0.0625,0.0357142857142857,0.00892857142857143,0.00487012987012987,0.00974025974025974,0,0,0,0,0,0.000811688311688312,0,0,0,0,0,0,0.496753246753247,0,0,0.0146103896103896
"oRG-geschwind",0.0139211136890951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00850734725444702,0.000773395204949729,0,0,0,0.000773395204949729,0.0239752513534416,0.156999226604795,0.00541376643464811,0.00464037122969838,0.000773395204949729,0,0,0,0,0,0,0,0,0,0,0,0.211910286156226,0.501160092807425,0.00464037122969838,0.0665119876256767,0.00541376643464811
"vRG-geschwind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172764227642276,0.0040650406504065,0,0,0,0,0.0945121951219512,0.024390243902439,0.00101626016260163,0.00203252032520325,0,0,0,0.00101626016260163,0.00101626016260163,0,0,0,0,0,0,0,0.0121951219512195,0.454268292682927,0.366869918699187,0.0213414634146341,0.00203252032520325
