"","Astrocyte.science","EN.PFC1.science","EN.PFC2.science","EN.PFC3.science","EN.V1.1.science","EN.V1.2.science","EN.V1.3.science","Endothelial.science","Glyc.science","IN.CTX.CGE1.science","IN.CTX.CGE2.science","IN.CTX.MGE1.science","IN.CTX.MGE2.science","IN.STR.science","IPC.div1.science","IPC.div2.science","IPC.nEN3.science","MGE.IPC1.science","MGE.IPC2.science","MGE.IPC3.science","MGE.RG1.science","MGE.RG2.science","MGE.div.science","Microglia.science","Mural.science","OPC.science","RG.div1.science","RG.div2.science","RG.early.science","Rejected..RE.","Rejection..dist.","U3.science","nEN.early1.science","nIN1.science","nIN2.science","nIN3.science","nIN5.science","oRG.science","root","tRG.science","vRG.science","Reject"
"End-geschwind",0,0,0,0,0,0,0,0.367088607594937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459915611814346,0.164556962025316,0,0,0,0,0,0,0,0.00843881856540084,0,0,0.624472573839662
"ExDp1-geschwind",0,0.153997057381069,0.0196174595389897,0,0.394801373222168,0,0.00245218244237371,0,0.000490436488474743,0,0.000490436488474743,0.000490436488474743,0,0.00147130946542423,0,0,0,0,0,0,0,0,0,0,0,0.000490436488474743,0,0,0,0.254046101029917,0.0608141245708681,0,0,0,0,0,0,0,0.110838646395292,0,0,0.314860225600785
"ExDp2-geschwind",0,0.210843373493976,0,0,0,0,0,0,0.0903614457831325,0,0,0,0,0.00602409638554217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325301204819277,0.174698795180723,0,0,0,0,0,0,0,0.192771084337349,0,0,0.5
"ExM-U-geschwind",0,0.000569476082004556,0.0313211845102506,0,0.00683371298405467,0.226082004555809,0.404897494305239,0,0,0,0.00113895216400911,0,0.00170842824601367,0.00227790432801822,0,0,0.000569476082004556,0,0.000569476082004556,0,0,0,0,0,0,0,0,0,0,0.0535307517084282,0.196469248291572,0,0,0,0,0,0,0,0.0740318906605923,0,0,0.25
"ExM-geschwind",0.00030543677458766,0.000916310323762981,0.0406230910201588,0.021584198737528,0.00346161677866015,0.438912645082468,0.00651598452453675,0,0.000203624516391774,0.00162899613113419,0.000814498065567094,0.00030543677458766,0.000407249032783547,0.00203624516391774,0,0,0.000101812258195887,0.000101812258195887,0.000101812258195887,0,0.000101812258195887,0,0,0.000203624516391774,0.000101812258195887,0.00030543677458766,0.000509061290979434,0.000814498065567094,0.00244349419670128,0.101710445937691,0.133475870494808,0.000407249032783547,0.00264711871309306,0,0,0.000101812258195887,0.000407249032783547,0,0.238444308694767,0,0.00030543677458766,0.235186316432498
"ExN-geschwind",0,0.00130065032516258,0.0016008004002001,0.00980490245122561,0.00270135067533767,0.0665332666333167,0.000500250125062531,0.000500250125062531,0.00350175087543772,0.016608304152076,0.00100050025012506,0.00300150075037519,0.000500250125062531,0.0191095547773887,0.000700350175087544,0.0032016008004002,0.00810405202601301,0.00080040020010005,0.000600300150075037,0,0.000500250125062531,0,0.000200100050025013,0.0016008004002001,0.000200100050025013,0.000100050025012506,0.000600300150075037,0.000600300150075037,0.00470235117558779,0.0961480740370185,0.205902951475738,0.000600300150075037,0.0489244622311156,0,0.000400200100050025,0.000100050025012506,0.000300150075037519,0.000300150075037519,0.497648824412206,0.000500250125062531,0.000600300150075037,0.302051025512756
"IP-geschwind",0.000930232558139535,0,0,0,0,0,0,0,0.00372093023255814,0.0013953488372093,0,0,0,0,0.00232558139534884,0.0172093023255814,0.196279069767442,0,0,0.00790697674418605,0.0013953488372093,0.00651162790697674,0.000930232558139535,0,0,0,0.000465116279069767,0.0013953488372093,0.00930232558139535,0.0251162790697674,0.137209302325581,0,0.00465116279069767,0,0.000465116279069767,0,0.0013953488372093,0,0.57953488372093,0.000465116279069767,0.0013953488372093,0.162325581395349
"InCGE-geschwind",0,0,0,0,0,0,0,0,0,0.398884239888424,0.291492329149233,0.00278940027894003,0,0.000697350069735007,0,0,0,0,0.000697350069735007,0,0,0,0,0,0,0,0,0,0,0.00418410041841004,0.0216178521617852,0,0,0,0,0,0,0,0.279637377963738,0,0,0.0258019525801953
"InMGE-geschwind",0,0,0,0,0,0,0,0,0.00117302052785924,0.00469208211143695,0.00117302052785924,0.367741935483871,0.106158357771261,0.00175953079178886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000586510263929619,0,0.00234604105571848,0.0105571847507331,0,0,0.00645161290322581,0.00175953079178886,0.000586510263929619,0.00351906158357771,0,0.491495601173021,0,0,0.0129032258064516
"Mic-geschwind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0.0416666666666667,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0.0625
"OPC-geschwind",0.0718954248366013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777777777777778,0,0,0,0.0294117647058824,0.0065359477124183,0,0,0,0,0,0,0,0.11437908496732,0,0,0.0359477124183007
"Per-geschwind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991228070175439,0,0,0,0,0.0087719298245614,0,0,0,0,0,0,0,0,0,0,0,0.0087719298245614
"PgG2M-geschwind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253237410071942,0.0143884892086331,0,0.258992805755396,0.00575539568345324,0,0,0,0.00287769784172662,0,0,0,0.135251798561151,0.037410071942446,0.00431654676258993,0,0.00287769784172662,0,0,0,0,0,0,0,0.284892086330935,0,0,0.00287769784172662
"PgS-geschwind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113636363636364,0.293019480519481,0.000811688311688312,0,0.0146103896103896,0,0,0.0267857142857143,0.099025974025974,0,0,0,0.0349025974025974,0.0373376623376623,0.0105519480519481,0.00487012987012987,0.0146103896103896,0,0,0,0,0,0,0,0.45211038961039,0,0,0.0194805194805195
"oRG-geschwind",0.0177880897138438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928074245939675,0,0,0,0,0,0.0162412993039443,0.165506573859242,0.00541376643464811,0.000773395204949729,0.00773395204949729,0,0,0,0,0,0,0.176334106728538,0.433101314771848,0.00309358081979892,0.164733178654292,0.00850734725444702
"vRG-geschwind",0.00508130081300813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142276422764228,0.0040650406504065,0,0,0,0,0.0762195121951219,0.016260162601626,0.00203252032520325,0.00203252032520325,0.0142276422764228,0,0,0,0,0,0,0.00508130081300813,0.479674796747967,0.354674796747967,0.0264227642276423,0.016260162601626
